Team1_name,Strength1,Team2_name,Strength2,Winner_name,NewStrength
Auburn,0.9473684210526315,Alabama St San Francis,0.10526315789473684,Auburn,1.0998208920695633
Louisville,0.5789473684210527,Creighton,0.631578947368421,Louisville,0.5858902859379855
Michigan,0.6842105263157895,UC San Diego,0.10526315789473684,Michigan,0.7054690245805638
Texas A&M,0.6842105263157895,Yale,0.0,Texas A&M,0.75207524164638
Ole Miss,0.5789473684210527,New Mexico,0.05263157894736842,Ole Miss,0.6781077966698702
Iowa State,0.7368421052631579,Troy,0.10526315789473684,Iowa State,0.7441112076386711
Marquette,0.5789473684210527,Vanderbilt,0.10526315789473684,Marquette,0.593317459566121
Michigan State,0.7894736842105263,American Mt. St. Mary,0.0,Michigan State,0.8154042518378602
Florida,0.9473684210526315,Norfolk State,0.05263157894736842,Florida,0.9839295692310635
UConn,0.42105263157894735,Oklahoma​,0.3684210526315789,UConn,0.4216103335255431
Memphis,0.631578947368421,Colorado State​,0.3157894736842105,Memphis,0.6493151089939011
Maryland,0.631578947368421,Grand Canyon,0.15789473684210525,Maryland,0.7148352305795036
Missouri,0.631578947368421,Drake,0.3157894736842105,Missouri,0.644772566588171
Texas Tech,0.8421052631578947,UNC Wilmington​,0.21052631578947367,Texas Tech,0.9556121405446109
Kansas,0.42105263157894735,Arkansas,0.3157894736842105,Arkansas,0.33514287160979356
St. John's,0.7368421052631579,Omaha,0.10526315789473684,St. John's,0.7604764070724372
Duke,1.0,Robert Morris,0.05263157894736842,Duke,1.0775545650567946
Mississippi State,0.47368421052631576,Baylor​,0.631578947368421,Baylor​,0.6558982199794992
Oregon,0.6842105263157895,Liberty,0.21052631578947367,Oregon,0.6847850297650104
Arizona,0.7894736842105263,Akron,0.15789473684210525,Arizona,0.8747314635421358
BYU,0.5789473684210527,VCU,0.2631578947368421,BYU,0.5877046764279675
Wisconsin,0.7894736842105263,Montana,0.21052631578947367,Wisconsin,0.8089154064641657
Saint Mary's,0.5263157894736842,Vanderbilt,0.3157894736842105,Saint Mary's,0.5432313373641862
Alabama,0.8421052631578947,Bryant,0.0,Alabama,0.9445530402877986
Houston,0.8947368421052632,San Diego State UNC,0.0,Houston,0.9003643408407148
Gonzaga,0.47368421052631576,Georgia,0.5263157894736842,Georgia,0.5352789969017002
Clemson,0.631578947368421,McNeese,0.2631578947368421,Clemson,0.6573786797245144
Purdue,0.7894736842105263,High Point​,0.21052631578947367,Purdue,0.88472286214079
Illinois,0.6842105263157895,Texas Xavier,0.15789473684210525,Illinois,0.7773969860203023
Kentucky,0.7368421052631579,Wofford,0.2631578947368421,Kentucky,0.7590992674267436
UCLA,0.5789473684210527,Utah State,0.42105263157894735,Utah State,0.4368275439078638
Tennessee,0.8421052631578947,SIU Edwardsvill,0.2631578947368421,Tennessee,0.9574889463289589
Auburn,1.0998208920695633,Louisville,0.5858902859379855,Auburn,1.1013602192641943
Michigan,0.7054690245805638,Texas A&M,0.75207524164638,Texas A&M,0.7589634240204526
Ole Miss,0.6781077966698702,Iowa State,0.7441112076386711,Iowa State,0.7521473970797388
Marquette,0.593317459566121,Michigan State,0.8154042518378602,Michigan State,0.8576445067089864
Florida,0.9839295692310635,UConn,0.4216103335255431,Florida,1.0608508058611419
Memphis,0.6493151089939011,Maryland,0.7148352305795036,Maryland,0.7258983013334342
Missouri,0.644772566588171,Texas Tech,0.9556121405446109,Texas Tech,0.9934788209855708
Arkansas,0.33514287160979356,St. John's,0.7604764070724372,St. John's,0.8192436604474089
Duke,1.0775545650567946,Baylor​,0.6558982199794992,Duke,1.1161374683195073
Oregon,0.6847850297650104,Arizona,0.8747314635421358,Arizona,0.8943012851461549
BYU,0.5877046764279675,Wisconsin,0.8089154064641657,Wisconsin,0.8129455598502534
Saint Mary's,0.5432313373641862,Alabama,0.9445530402877986,Alabama,0.9504104634077445
Houston,0.9003643408407148,Georgia,0.5352789969017002,Houston,0.9701620641659974
Clemson,0.6573786797245144,Purdue,0.88472286214079,Purdue,0.8898015416529556
Illinois,0.7773969860203023,Kentucky,0.7590992674267436,Illinois,0.7803404696424799
Utah State,0.4368275439078638,Tennessee,0.9574889463289589,Tennessee,0.9755018642578849
Auburn,1.1013602192641943,Texas A&M,0.7589634240204526,Texas A&M,0.8144671392731838
Iowa State,0.7521473970797388,Michigan State,0.8576445067089864,Iowa State,0.7614973945523689
Florida,1.0608508058611419,Maryland,0.7258983013334342,Maryland,0.7860750656419866
Texas Tech,0.9934788209855708,St. John's,0.8192436604474089,Texas Tech,1.0265606462011638
Duke,1.1161374683195073,Arizona,0.8943012851461549,Duke,1.1374800956378897
Wisconsin,0.8129455598502534,Alabama,0.9504104634077445,Alabama,0.9637088223872528
Houston,0.9701620641659974,Purdue,0.8898015416529556,Houston,0.9790925531324323
Illinois,0.7803404696424799,Tennessee,0.9755018642578849,Tennessee,0.992131588170177
Texas A&M,0.8144671392731838,Iowa State,0.7614973945523689,Iowa State,0.7630471530324314
Maryland,0.7860750656419866,Texas Tech,1.0265606462011638,Texas Tech,1.0456703418145217
Duke,1.1374800956378897,Alabama,0.9637088223872528,Duke,1.1448641415648488
Houston,0.9790925531324323,Tennessee,0.992131588170177,Houston,0.9806284712232625
Iowa State,0.7630471530324314,Texas Tech,1.0456703418145217,Texas Tech,1.0825938829783548
Duke,1.1448641415648488,Houston,0.9806284712232625,Duke,1.1526633428131132
Texas Tech,1.0825938829783548,Duke,1.1526633428131132,Duke,1.161559966408183
