Team1,Team2,Strength1,Strength2,Winner,NewStrength,Round,Team1_name,Team2_name,Winner_name
0,1,0.9473684210526315,0.10526315789473684,0,0.9690451090410287,"(64, 0)",Auburn,Alabama St San Francis,Auburn
2,3,0.5789473684210527,0.631578947368421,2,0.5892477407467388,"(64, 1)",Louisville,Creighton,Louisville
4,5,0.6842105263157895,0.10526315789473684,4,0.7404924574668105,"(64, 2)",Michigan,UC San Diego,Michigan
6,7,0.6842105263157895,0.0,6,0.687840573965031,"(64, 3)",Texas A&M,Yale,Texas A&M
8,9,0.5789473684210527,0.05263157894736842,8,0.6248125382214007,"(64, 4)",Ole Miss,New Mexico,Ole Miss
10,11,0.7368421052631579,0.10526315789473684,10,0.8540190706997874,"(64, 5)",Iowa State,Troy,Iowa State
12,13,0.5789473684210527,0.10526315789473684,12,0.6073386300419675,"(64, 6)",Marquette,Vanderbilt,Marquette
14,15,0.7894736842105263,0.0,14,0.8327969016098895,"(64, 7)",Michigan State,American Mt. St. Mary,Michigan State
16,17,0.9473684210526315,0.05263157894736842,16,0.9612210703261053,"(64, 8)",Florida,Norfolk State,Florida
18,19,0.42105263157894735,0.3684210526315789,18,0.42899179172825375,"(64, 9)",UConn,Oklahoma​,UConn
20,21,0.631578947368421,0.3157894736842105,20,0.6931051694134694,"(64, 10)",Memphis,Colorado State​,Memphis
22,23,0.631578947368421,0.15789473684210525,22,0.7152147156243837,"(64, 11)",Maryland,Grand Canyon,Maryland
24,25,0.631578947368421,0.3157894736842105,24,0.6694197879818868,"(64, 12)",Missouri,Drake,Missouri
26,27,0.8421052631578947,0.21052631578947367,26,0.8674273404702816,"(64, 13)",Texas Tech,UNC Wilmington​,Texas Tech
28,29,0.42105263157894735,0.3157894736842105,29,0.32447260251932947,"(64, 14)",Kansas,Arkansas,Arkansas
30,31,0.7368421052631579,0.10526315789473684,30,0.8409045649137625,"(64, 15)",St. John's,Omaha,St. John's
32,33,1.0,0.05263157894736842,32,1.1478715043936862,"(64, 16)",Duke,Robert Morris,Duke
34,35,0.47368421052631576,0.631578947368421,35,0.6567671446129657,"(64, 17)",Mississippi State,Baylor​,Baylor​
36,37,0.6842105263157895,0.21052631578947367,36,0.7176936709542926,"(64, 18)",Oregon,Liberty,Oregon
38,39,0.7894736842105263,0.15789473684210525,38,0.8434956211443609,"(64, 19)",Arizona,Akron,Arizona
40,41,0.5789473684210527,0.2631578947368421,40,0.6230886561296881,"(64, 20)",BYU,VCU,BYU
42,43,0.7894736842105263,0.21052631578947367,42,0.7937480861948315,"(64, 21)",Wisconsin,Montana,Wisconsin
44,45,0.5263157894736842,0.3157894736842105,44,0.5377934923881329,"(64, 22)",Saint Mary's,Vanderbilt,Saint Mary's
46,47,0.8421052631578947,0.0,46,0.9732809628355555,"(64, 23)",Alabama,Bryant,Alabama
48,49,0.8947368421052632,0.0,48,0.9450222433426309,"(64, 24)",Houston,San Diego State UNC,Houston
50,51,0.47368421052631576,0.5263157894736842,51,0.5316405075035897,"(64, 25)",Gonzaga,Georgia,Georgia
52,53,0.631578947368421,0.2631578947368421,52,0.6407133705113979,"(64, 26)",Clemson,McNeese,Clemson
54,55,0.7894736842105263,0.21052631578947367,54,0.8124315319119986,"(64, 27)",Purdue,High Point​,Purdue
56,57,0.6842105263157895,0.15789473684210525,56,0.777551608674466,"(64, 28)",Illinois,Texas Xavier,Illinois
58,59,0.7368421052631579,0.2631578947368421,58,0.7809418184636538,"(64, 29)",Kentucky,Wofford,Kentucky
60,61,0.5789473684210527,0.42105263157894735,60,0.6005321938940613,"(64, 30)",UCLA,Utah State,UCLA
62,63,0.8421052631578947,0.2631578947368421,62,0.944882806104694,"(64, 31)",Tennessee,SIU Edwardsvill,Tennessee
0,2,0.9690451090410287,0.5892477407467388,0,1.0162819722544552,"(32, 0)",Auburn,Louisville,Auburn
4,6,0.7404924574668105,0.687840573965031,6,0.6971615036954111,"(32, 1)",Michigan,Texas A&M,Texas A&M
8,10,0.6248125382214007,0.8540190706997874,10,0.8992530032248994,"(32, 2)",Ole Miss,Iowa State,Iowa State
12,14,0.6073386300419675,0.8327969016098895,14,0.8579775488331257,"(32, 3)",Marquette,Michigan State,Michigan State
16,18,0.9612210703261053,0.42899179172825375,16,1.0097223974118894,"(32, 4)",Florida,UConn,Florida
20,22,0.6931051694134694,0.7152147156243837,20,0.6961675463518482,"(32, 5)",Memphis,Maryland,Memphis
24,26,0.6694197879818868,0.8674273404702816,24,0.7050634847808352,"(32, 6)",Missouri,Texas Tech,Missouri
29,30,0.32447260251932947,0.8409045649137625,30,0.8822259509573276,"(32, 7)",Arkansas,St. John's,St. John's
32,35,1.1478715043936862,0.6567671446129657,32,1.2003903440062909,"(32, 8)",Duke,Baylor​,Duke
36,38,0.7176936709542926,0.8434956211443609,38,0.8631225714329277,"(32, 9)",Oregon,Arizona,Arizona
40,42,0.6230886561296881,0.7937480861948315,42,0.7941311312013856,"(32, 10)",BYU,Wisconsin,Wisconsin
